SMILES,DS
CC(=O)OCCC1Cc2ccccc2C2=CCCOC=C2C1=O,-9.311
CC1=NNCC(C)CNCCCC(=O)NCc2ccccc2C1,-9.308
CC1=CC(=O)CC(=O)NNCC=CC=CCc2ccccc2C1,-9.293
CC1=NNCC(C)CNCC(C)C(=O)NCc2ccccc2C1,-9.247
CC1CCCCCCNCC(C)C(=O)OCc2ccccc2C1,-9.244
CCC1C=C2CC(=CC3=C(CC(=O)CN2)OCC3)CC1,-9.239
CCc1cccc(C=CNNC(C)=CC2=CC(CC)C(C)C=N2)c1C,-9.235
CC1CCCN(C)CNCC(C)C(=O)NCc2ccccc2C1,-9.232
CC1CC(=O)NCCNCCC(=O)COCc2ccccc2S1,-9.215
CCC1=CCC2=CCCCCCCC(C)NNC(=C1)C2,-9.212
CC(=O)OCC=C1Cc2ccccc2C2=CCCOC=C2C1O,-9.209
CCC1CC2C(Cl)=CCC(Cl)C(=O)CCCCC1=CN2F,-9.208
CC(C)OCC=C1Cc2ccccc2C2CCCSCC2C1C,-9.205
CC=CCCC1=CCC2CCNC2Cc2ccc(C)cc21,-9.194
CCC1CC2=C(F)C=C1CCCCC(=O)C(C)CC=C2Cl,-9.168
COC1C=C2CC(=CC1)CC1=C(CCC1)CC(C)NN2,-9.167
CCC1C=C2CNC(C)CCCCCCC=C(CC1)C2,-9.159
CC1CC(=O)NCCNCC(C)C(=O)NCc2ccccc2C1,-9.157
CC=CC=CC1=CCC2CCNC2CC2=CC=C(C)CN12,-9.152
CC1C=C2CSCNCC(C)CCCNCCNC(C2)C1,-9.147
CC1CCCCCCNCCC(=O)COCc2ccccc2C1,-9.134
CC1=NN=CC(C)CNCC(C)C(=O)OCc2ccccc2C1,-9.126
CC1=NN=CN(C)CNNC(C)C(=O)OCC2=CCCC=C2C1,-9.123
CC1CC(=O)NC=CNCCC(=O)COCc2ccccc2C1,-9.123
CC1C=C2CCN(C)CC(C)CCCC(Cl)N=CC(C2)C1,-9.122
CNC1CCCC2=CCC=CC=C2NC(C)CNC1C,-9.122
CC1CCCCC(=O)NNC(C)C(=O)NCc2ccccc2C1,-9.119
CC(=O)OCC=C1Cc2ccccc2C2=CCCOCC2C1C,-9.108
CC1=Cc2cc(C)ccc2CC2NCCC12,-9.106
CCC1=C(C)C2=CC3CCCC3CC(C)CNC(=C1)C2,-9.095
CC1CCCC(C)CC2=CCCC=C2CNC(=O)C(C)CNC1,-9.095
CC1C=C2CCN(C)CC(N)CC=CC(O)NCC(C2)C1,-9.094
CCC1=CCC2=CCCCOCCC(C)NNC(=C1)C2,-9.085
CC1=NNCCCCNNC(C)C(=O)NCC2=CCCC=C2C1,-9.085
CCC1=CCC2=CC3CCCC3CC(C)CNC(=C1)C2,-9.082
CC(=O)CCCC1Cc2ccccc2C2=CC(C)SC=C2C1=O,-9.082
CC1C=C2CSCNCC(N)CC=CC(O)NCC(C2)C1,-9.08
CC1CCCN(C)CNCC(C)C(=O)OCc2ccccc2C1,-9.066
CC1CNCNCCCCC(C)C(=O)OCc2ccccc2C1,-9.066
CC(=O)C=CC1=C(C)C2CCNC2Cc2ccc(C)cc21,-9.064
CC(=O)CCCC1Cc2ccccc2C2=CCCSC=C2C1C,-9.056
CCC1=CC=C2CC(=C1)NNC(C)CC1=C(CC=C1)C2,-9.049
COC1CCCC2=CCC=CC=C2N=NC(C)CC1C,-9.041
CC1CC(=O)C(C)CNCC(C)C(=O)NCc2ccccc2C1,-9.038
CC(=O)C=CC1=CCC2CCNC2Cc2ccc(C)cc21,-9.037
CC1CNCCCCNCC(C)C(=O)NCc2ccccc2C1,-9.031
CCC1=C(C)C2=CC3=C(CCC3)CC(=O)CNC(=C1)C2,-9.029
CNC1CCCC2=CCC=CC=C2C(=O)C(N)NC1C,-9.023
CCC1=CCC2=CCCCOCCC(Cl)NCC(=C1)C2,-9.021
CCC1=CCC2=CC3CCCC3CC(C)NCC(=C1)C2,-9.021
CC(=O)CCC1(O)CC2=CCNC2Cc2ccc(C)cc21,-9.02
CC1CCOCc2ccccc2CC(C)CNCNCCNC1,-9.019
CC1=NNCCCCNCC(C)C(=O)NCc2ccccc2C1,-9.015
CC1=CC(=O)CC(C)NNC(C)C(=O)NCc2ccccc2C1,-9.013
CCC1=CC=C(C)CC1CC(C)C(=O)CC(F)c1ccccc1C,-9.011
CC1=C2CC(C=C1)C(O)CNCCCC2CCCc1ccccc1C,-9.006
CC1C=C2CCN(C)CC(=O)CCCC(O)N=CC(C2)C1,-8.997
CCC1=CCC2=CC3CCNC(C3)C(C)NCC(=C1)C2,-8.997
CC1C=C2CSCNCC(C)CCCNCONC(C2)C1,-8.995
CC1C=C2CSCNCC(C)CCNC(C)ONC(C2)C1,-8.991
CCC1CC2=C(Cl)C=C1CCCCCCC(C)OC=C2Cl,-8.982
CC1C=C2CCN(C)CC(N)CCCC(O)ONC(C2)C1,-8.981
CCc1ccc(C)nc1CC=CC=CNCc1ccccc1C,-8.978
CCC1=CCC2=CC3=C(CCC3)CC(C)NCC1=CC2,-8.96
CC(=O)C=CC1=CCC2CNPC2Cc2ccc(C)cc21,-8.95
COC1CCCC2=CCC=CC=C2CNCCC1C,-8.95
CC1=CC=CNCCNCC(C)C(=O)OCc2ccccc2C1,-8.949
CC1=NC=CCC1CCCC1CCCNCC(O)C2=CC1=C(C)CC2,-8.946
CC1CNCCCC(=O)NCc2ccccc2CC(C)CNC1,-8.945
CC1CCCC(C)Cc2ccncc2CNC(=O)C(C)CNC1,-8.94
CCC1=CCC2=CCCCCCCC(C)CNC(=C1)C2,-8.924
CCC1=CC=NCC=C1CC=CC=CNCc1ccccc1Cl,-8.92
CC(=O)C=CC1(O)CC2CCNC2Cc2ccc(C)cc21,-8.917
CCC1=CCC2=CCCCOCCC(=O)CNC(=C1)C2,-8.909
CC1=CCCC(C)CC(C)CCC(=O)NC(C)C1=O,-8.904
CC(=O)OCCC1Cc2ccccc2C2=CCCOC=C2C1C,-8.903
CC1CCCC(C)Cc2ccccc2COC(=O)C(C)CNC1,-8.902
CC1=PC=CCC1CCCC1CC=CCNC(O)c2ccc(C)c1c2,-8.901
CCC1=CC=CCN=C1CC=CC=CNCc1ccccc1Cl,-8.901
CCC1CC2=C(F)C=C1CCC(=O)C(C)C(Cl)CC=C2Cl,-8.893
CCC1=CC=C2CC(=C1)CNC(C)CC1=C(CCO1)C2,-8.893
COC1CCCc2c(ccc3c2C3)CNCCNC1C,-8.892
CC1=NC=CN(C)CNCC(C)C(=O)NCc2ccccc2C1,-8.885
CC1=CC(=O)NC(O)NCC(C)C(=O)NCc2ccccc2C1,-8.871
CCC1=CC=C2CC(=C1)NCC(N)CC1CCCC1C2,-8.871
Cc1ccc2c(c1)C=CCC1CCNC1C2,-8.867
CC1C=C2CSCNCC(C)CCCC(Cl)N=CC(C2)C1,-8.863
CC1=NNCNCCCNC(C)C(=O)NCc2ccccc2C1,-8.855
CC1C=C2CCN(C)CC(C)CC=CC(O)NCC(C2)C1,-8.842
CC1CC=CC(Cl)N=CC2CC(=CN(C)C2)CCN(C)C1,-8.84
CC1CNCCC(C)NNC(C)C(=O)NCc2ccccc2C1,-8.838
CC1CCCC(C)Cc2ccccc2COC(=O)CCCNC1,-8.825
CCC1=C(C)C2=CCCCCCCC(=O)CNC(=C1)C2,-8.824
CCC1=CC=NC2N=C1CC=CC2=CNCc1ccccc1,-8.81
CCC1=CCC2=CCCCCCCC(=O)CNC(=C1)C2,-8.798
CC(=O)SCC1=CCC2CCNC2Cc2ccc(C)cc21,-8.795
CC1CCCC(C)C(Cl)NC(C)C(=O)NCc2ccccc2C1,-8.794
CC1CCCC(C)C(=O)N(C)CC(=O)CC(F)CC1,-8.793
CCC1=CCC2=CC3CCCC3CC(=O)CNC(=C1)C2,-8.793
CC1=NN=CN(C)CCCC(C)C(=O)NCc2ccccc2C1,-8.792
CC=CC=CC1=NCC2CCNC2Cc2ccc(C)cc21,-8.792
CC1CC2=CCCC=C2CNC(=O)C(C)NCC=CNN(C)C1,-8.785
CCCCCC=C1Cc2ccccc2C2=CCCSC=C2C1=O,-8.784
CC(=O)OCC=C1Cc2ccccc2CCCCOCCC1C,-8.782
CCC1=CCC2=CC3=C(CCC3)CC(=O)CNC(=C1)C2,-8.78
CC1CNCCC(C)NCC(C)C(=O)NCc2ccccc2C1,-8.775
COC1CCCC2=CCC=CC=C2NNCCC1=O,-8.772
CC1CC=CC(=O)NNC2CC(=CN(C)N2)CSCNC1,-8.768
CC(C)CC(C)C1Cc2ccccc2CCCCOCCC1=O,-8.767
CC1=NN=CNCC(N)CCCC(=O)NCc2ccccc2C1,-8.767
CC(=O)CCC1=NCC2CCNC2Cc2ccc(C)cc21,-8.765
CC1CC(=O)NCCNCC(C)C(=O)OCc2ccccc2C1,-8.764
CC1=NNCCCC(N)NCCC(=O)NCc2ccccc2C1,-8.758
CC(C)CC(=O)C1Cc2ccccc2CCCCNC(=O)C1C,-8.757
CCC1=CCC2=CC3CCCC3OC(C)NNC(=C1)C2,-8.756
CC1=NN=CN(C)C(=O)NC(C)C(=O)NCc2ccccc2C1,-8.756
CC(=O)CCCC1Cc2ccccc2C=CCCOC=CC1=O,-8.753
CCC1=CC=C(C)CC1OC(C)C(=O)CN(F)c1ccccc1C,-8.749
CC1=NNCC(C)CNCC2CC(=O)NCc3ccccc3C12,-8.742
CCC1C=C2CC(=CC3CCCC3CC(=O)CN2)C1C,-8.742
CCC1C=C2CCCCC(C)CCCC=C(Cl)C(=C2C)C1,-8.735
CC1=NNCN(C)CCNC(C)C(=O)OCc2ccccc2C1,-8.732
CC1CCCN(C)C(C)NC(C)C(=O)OCc2ccccc2C1,-8.732
CCCCCC1=CCC2CCNC2Cc2ccc(C)cc21,-8.729
CCC1=CCC2=CC3=C(CCC3)CC(C)NCC(=C1)C2,-8.718
CC1=NN=CN(C)CCNC(C)C(=O)OCc2ccccc2C1,-8.712
CCC1=CC=S=CNC12CC=CCCNCc1ccccc1CC2,-8.71
CCCC(=O)C1=NCC2CCNC2Cc2ccc(C)cc21,-8.709
CCC1=CCC2=CC3CCNC3CC(C)NCC(=C1)C2,-8.709
CC1CCCC(C)Cc2ccncc2COC(=O)C(C)CNC1,-8.707
CC(=O)OCCC1Cc2ccccc2C=CCCSCCC1=O,-8.705
CCc1ccc(C)cc1NC=CC(=O)NCC1=CC=CCC1,-8.703
CCC1C=C2NCCCC(=O)C(Cl)SC=C(Cl)C(=C2C)C1,-8.702
CC1Cc2ccccc2COCC=CCCNCCN[N+](=O)C1,-8.701
CC1=CC(=O)NC=CNCCC(=O)COCc2ccccc2C1,-8.7
CC(=O)CCC1(O)CC2CCNC2Cc2ccc(C)cc21,-8.698
CCC1CC2C(C)=CCC(C)C(=O)CCCCC1=CN2F,-8.696
CC1=NNCCCCNNC(C)C(=O)NCc2ccccc2C1,-8.694
CCC1=CC=CCC(NCC(F)=C2CC=C(C)C=C2C)C1,-8.693
CCCCCC1c2cc(C)ccc2CC2NCC3C2C13C,-8.691
CNC1CCCc2cc(C)ccc2C(=O)C(Br)NC1C,-8.686
CCc1ccc(C)nc1CC=CC=CNCc1ccccc1Cl,-8.685
CCC1CC=CCC2=C1N2CC1=CC=CC(C)CC=C1C,-8.684
CC1=NN=CC(C)CNNC(C)C(=O)OCc2ccccc2C1,-8.683
CC1=NNCCCCNCCCC(=O)NCc2ccccc2C1,-8.682
COC1CCCC2=CCC=CC=C2NC(C)C(C)C1C,-8.682
CC=CCCC1=CCC2CCNC2CC2=CC=C(C)CN12,-8.682
CCC1C=C2CC(=CC3=C(C=CC3)CC(=O)CN2)C1C,-8.677
CC(=O)N=CC1=C(C)C2CCNC2Cc2ccc(C)cc21,-8.676
CCCN(C)CNC(=O)N=C(C)C(=O)C=Cc1cccc2c1CCC2,-8.675
CCc1c(C)cncc1CC(=O)C(=O)NC1CC1C1=CCCC=C1,-8.673
CCC1CCCCCC(=O)C(O)CC=C(C)C(=CF)C1,-8.671
CCC1=CC=CCC=C1C1CCC(C)CC1,-8.669
CCC1=CC=CCCC1NCC(F)=C1CCC(C)C=C1C,-8.664
CC1CNCCCCNCCC(=O)COCc2ccccc2C1,-8.663
CC1CCCC(C)C(=O)C(C)NC(=O)CC(F)CC1,-8.663
CCC1=CC=C2CC(=C1)NCC(C)CC1CCCC1C2,-8.662
CC1CNCN(C)CNCCC=CCOCc2ccccc2C1,-8.661
CC1C=C2CSCNCC(C)CC=CCCNCC(C2)C1,-8.66
CC1C=C2CSCNCC(C)CC=CNCONC(C2)C1,-8.657
COC1CCOc2cc(C)ccc2CNC(=O)CC1=O,-8.646
CC(=O)SCC1=CCC2CCNC2CC2=CC=C(C)CN12,-8.636
CCCC=CC1(O)CC2CCNC2Cc2ccc(C)cc21,-8.634
CCC1CC2C(Cl)=CCC(C)C(=O)CCCCC1=CN2F,-8.631
CCC1C=C2CNC(C)CC3CCCC3C=C(CC1)C2,-8.627
CC1CCCC(C)Cc2ccccc2COCNC(C)CNC1,-8.626
CC1CNCCC(=O)COCC2=CCCCC2(O)CC(C)CNC1,-8.624
CC1CC=CC(Cl)NCC2CC(=CN(C)C2)CSCNC1,-8.615
CCCCC1C(C)=CC2=C1C(=O)NNCC1=CC=CCN12,-8.614
CC1=NNCC(C)CNCC(C)C(=O)OCc2ccccc2C1,-8.614
CC=C(O)CCCCCCC1C=CCNCC(C)C2C=CC(C)=C1C2,-8.611
CC(=O)SCC12CC1C1CCNC1Cc1ccc(C)cc12,-8.606
CCCCCC1CCC2CCNC2Cc2ccc(C)cc21,-8.603
CCC1=CC=CCC=C1CCC1CCCCCC1=O,-8.601
CCCC(=O)C1(C)CC2CCNC2Cc2ccc(C)cc21,-8.599
CCC1=C(C)C(Cl)N=C1CNC1=CC=CCCCCC1C,-8.597
CC(=O)CCC1=C(C)C2CCNC2Cc2ccc(C)cc21,-8.595
CC1=NNCC(C)CNCC2CC(=O)NCc3cnccc3C12,-8.594
CCC1=CC=CCN(NCC(F)=C2CC=C(C)C=C2C)C1,-8.592
CCC1=CC=CCC(NCC(F)c2ccc(C)cc2C)C1,-8.59
CC1=NN=CCCCNCC(C)C(=O)OCc2ccccc2C1,-8.588
CCC1=CCC2=CC3=CC(NCC3)C(C)CNC(=C1)O2,-8.586
CCCCCC1c2cc(C)ccc2CC2NCCC2C1C,-8.586
CCCC1=C(C)C(C)NCCCC(=O)C(C)CC=C(Cl)C1,-8.583
CC1=CC(=O)NCCNCCCC(=O)NCc2ccccc2C1,-8.577
COC1CCCc2cc(C)ccc2CNC(C)NC1C,-8.576
CC1C=C2CSCNCC(C)CCCC(Cl)NCC(C2)C1,-8.568
CC1=CC(Cl)C(Cl)=C(C)CC(C)NC(=O)CCC(C)(C)C1,-8.564
CC1=CCCCCCNCC(C)C(=O)OCc2ccccc2C1,-8.564
COC1CCOc2cc(C)ccc2C=NCC(O)C1C,-8.564
CC1C=C2CSCNCC(C)CCCC(O)NCC(C2)C1,-8.563
CC1CCCNCCCNC(C)C(=O)NCc2ccccc2C1,-8.559
CC1CNCN(C)CNCCCCCOCc2cnccc2C1,-8.558
CCNC1CCN(C)CCC(=O)C2=COCC=CC(CCO2)C1,-8.558
CCC1=CC=NCC=C1CC=CC=CNCc1cccnc1,-8.552
CCCC(F)P=[N+]1CC(=C(C)C(=O)NCc2ccccc2C)N1C,-8.551
CNC1CCCc2cc(C)ccc2NC(C)CNC1C,-8.548
CC1C=C2CCN(C)CC(N)CC=CC(Cl)NCC(C2)C1,-8.54
CC1=NN=CC(C)CNCCC(=O)COCc2ccccc2C1,-8.54
CC=CC(=O)C1=CCC2CCNC2Cc2ccc(C)cc21,-8.539
COC1CCCc2cc(C)ccc2C(=O)C(N)NC1C,-8.537
CC1=NN=CCC(C)NNC(C)C(=O)NCc2ccccc2C1,-8.536
CCC1C=C2NCCCCCC(C)SC=C(Cl)C(=C2C)C1,-8.534
CC1CCCNCCNCC(C)C(=O)NCc2ccccc2C1,-8.528
CC(=O)CCC1=CCC2CNPC2Cc2ccc(C)cc21,-8.525
CCCC(C)C=CCC=NCC1=CC=CC(=O)CCC12CCOCC2,-8.525
CC(=O)OCC=C1Cc2ccccc2C2=CCCSC=C2C1F,-8.518
CC1=NN=CC(C)CNCCCCCOCc2ccccc2C1,-8.518
COc1ccc(Cl)nc1CCC1=CC=CC(C)CC=C1C,-8.515
CC1C=C2CSNNCC(C)CC=CCCNCC(C2)C1,-8.514
CC1C=C2CC(C1)NNC(Br)C=CCC(C)CC1CN1C2,-8.511
CCCC(C)C=C1CC(=C(C)N(C)NCc2ccccc2C)CN1,-8.51
CC=NC1CC(Cl)CC2CN2C(=O)CN(C)CCC=CN1,-8.51
CC1=CC(=O)NCCNCC(C)C(=O)NCc2ccccc2C1,-8.507
CCC1=CC=C2CC(=C1)CNC(C)CC1NCCC1C2,-8.505
CCCC(C)C=C1CC(=C(C)C(=O)NCc2ccccc2C)NN1,-8.503
CCC1CC=CC(C)=C1CC=CC1=C(Cl)CCC=C1,-8.502
CC(=O)N=CC1=CCC2CCNC2CC2=CC=C(C)CN12,-8.502
COC1CCCC2=CCC=CC=C2CNC(C)CC1C,-8.502
CCC1=CC=CCCC1NCC(F)=C1CC=C(C)C=C1C,-8.5
CC1C=C2CSCNCC(C)CC=CC(O)NNC(C2)C1,-8.5
CC(=O)C=CC1=NCC2CCNC2Cc2ccc(C)cc21,-8.498
CCCC(C)C=CNC=CNC1=CC=CC=CCCC12CCOCC2,-8.497
CCCC1CC(=O)C=CN(Cl)CC(=O)NCCCC(Cl)C1,-8.496
CC1CNCN(C)CNNC(C)C(=O)NCc2ccccc2C1,-8.494
CNC1CCCc2cc(C)ccc2C(=O)C(N)NC1C,-8.491
