SMILES,DockingScoreProperty,CornealProperty,MelaninProperty,IrritationProperty
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NC(=O)NC(CC1CCCCCC1)c1ccc2ccccc2n1,-8.8,0.93,0.93,0.11
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NNC(NC(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.8,0.83,0.83,0.03
NC(=O)Nc1c(NN[NH2+]C2CCCC2)nc2ccccc2c1N,-8.7,0.99,0.99,0.08
NC(=O)NC(NC(N)=O)([NH2+]C1CCCC1)c1ccc2ccccc2n1,-8.6,0.99,0.99,0.05
NC(=O)Nc1cccc2ccc(NN[NH+](O)C3CCCC3)nc12,-8.6,1.0,1.0,0.04
NC(=O)NC(NC(N)=O)([NH2+]C1CCCC1)c1ccc2ccccc2n1,-8.6,0.99,0.99,0.05
NNCc1cc2ccccc2nc1NNC1CCCCCC1,-8.6,0.9,0.9,0.04
NC(=O)NC(NC(N)=O)([NH2+]C1CCCC1)c1ccc2ccccc2n1,-8.6,0.99,0.99,0.05
NC(=O)Nc1ccc2ccc(OC(=O)NN[NH2+]C3CCCC3)nc2c1,-8.6,0.99,0.99,0.05
NNCc1cc2ccccc2nc1NNC1CCCCCC1,-8.6,0.9,0.9,0.04
NC(=O)NC(NC(N)=O)([NH2+]C1CCCC1)c1ccc2ccccc2n1,-8.6,0.99,0.99,0.05
Oc1c(NNC2CCCCCC2)nc2ccccc2c1O,-8.6,0.96,0.96,0.13
NNCc1cc2ccccc2nc1NNC1CCCCCC1,-8.6,0.9,0.9,0.04
CC(F)(NC(N)=O)C(c1ccc2ccccc2n1)C1CCCCC1,-8.6,0.95,0.95,0.09
NC(=O)NC(NC(N)=O)([NH2+]C1CCCC1)c1ccc2ccccc2n1,-8.6,0.99,0.99,0.05
NC(=O)NC(NC(N)=O)([NH2+]C1CCCC1)c1ccc2ccccc2n1,-8.6,0.99,0.99,0.05
NC(=O)NC(NC(N)=O)([NH2+]C1CCCC1)c1ccc2ccccc2n1,-8.6,0.99,0.99,0.05
NNc1cc2ccccc2nc1N(NC(N)=O)C1CCCCCC1,-8.6,0.71,0.71,0.03
NNCc1cc2ccccc2nc1NNC1CCCCCC1,-8.6,0.9,0.9,0.04
NC(=O)NC(NC(N)=O)([NH2+]C1CCCC1)c1ccc2ccccc2n1,-8.6,0.99,0.99,0.05
NC(=O)NC(NC(N)=O)([NH2+]C1CCCC1)c1ccc2ccccc2n1,-8.6,0.99,0.99,0.05
NNCc1cc2ccccc2nc1NNC1CCCCCC1,-8.6,0.9,0.9,0.04
NC(=O)NC(O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.5,0.92,0.92,0.03
NNC(C(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.5,0.91,0.91,0.11
NNc1c(O)c(NNC2CCCCCC2)nc2ccccc12,-8.5,0.89,0.89,0.06
NN(NNC1CCCCCC1)c1ccc2ccccc2n1,-8.5,0.98,0.98,0.06
NNc1cc2ccccc2nc1NNNNC1CCCCCC1,-8.5,0.9,0.9,0.04
NC(=O)NCC(c1ccc2ccccc2n1)C1CCCCCC1,-8.5,0.93,0.93,0.06
NNC(C(N)=O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.5,0.91,0.91,0.11
NC(=O)Nc1nc2ccccc2c(N)c1NN[NH2+]C1CCCC1,-8.5,0.99,0.99,0.06
ONNc1nc2ccccc2cc1NN[NH2+]C1CCCC1,-8.5,1.0,1.0,0.03
NNc1nc2ccccc2cc1C(O)[NH2+]C1CCCC1,-8.5,0.98,0.98,0.05
NC(=O)NC(O)(c1ccc2ccccc2n1)C1CCCCCC1,-8.5,0.92,0.92,0.03
NN(NNC1CCCCCC1)c1ccc2ccccc2n1,-8.5,0.98,0.98,0.06
NNCC(F)(NNC1CCCCCC1)c1ccc2ccccc2n1,-8.5,0.95,0.95,0.03
NNc1nc2ccccc2c(N)c1NNC1CCCCCC1,-8.5,0.89,0.89,0.06
NNc1c(O)c(NNC2CCCCCC2)nc2ccccc12,-8.5,0.89,0.89,0.06
NC(=O)Nc1nc2ccccc2cc1NN[NH+](O)C1CCCC1,-8.4,1.0,1.0,0.02
NC(=O)NC(NC(N)=O)c1cc2ccccc2nc1[NH2+]C1CCCC1,-8.4,0.98,0.98,0.04
NC(=O)NC(N)(c1ccc2ccccc2n1)C1CCCCCC1,-8.4,0.92,0.92,0.05
NC(=O)Nc1nc2ccccc2cc1NN[NH+](O)C1CCCC1,-8.4,1.0,1.0,0.02
NC(=O)NC(N)(c1ccc2ccccc2n1)C1CCCCCC1,-8.4,0.92,0.92,0.05
N=C(NNc1nc2ccccc2cc1N)[NH2+]C1CCCC1,-8.4,0.99,0.99,0.04
NC(=O)NNNc1nc2ccccc2cc1NNC1CCCCCC1,-8.4,0.62,0.62,0.03
NC(=O)NC(N)(c1ccc2ccccc2n1)C1CCCCCC1,-8.4,0.92,0.92,0.05
NC(=O)NC(N)(c1ccc2ccccc2n1)C1CCCCCC1,-8.4,0.92,0.92,0.05
NC(=O)Nc1nc2ccccc2cc1NN[NH+](O)C1CCCC1,-8.4,1.0,1.0,0.02
NC(=O)Nc1nc2ccccc2cc1NN[NH+](O)C1CCCC1,-8.4,1.0,1.0,0.02
NNc1nc2ccccc2cc1C(NC(N)=O)C1CCCCCC1,-8.4,0.73,0.73,0.02
NC(=O)NC(N)(c1ccc2ccccc2n1)C1CCCCCC1,-8.4,0.92,0.92,0.05
NC(=O)NC(NC(N)=O)c1cc2ccccc2nc1[NH2+]C1CCCC1,-8.4,0.98,0.98,0.04
